PROFILE,STORAGE_SYSTEM,STORAGE_POOL,VOLUME_NAME,VOLUME_SIZE,san_connection_A,san_connection_B,os_host_type,LUN_ID
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA8,120,hba0,hba1,VMware (ESXi)',14
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA9,120,hba0,hba1,VMware (ESXi)',15
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA10,120,hba0,hba1,VMware (ESXi)',16
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA11,120,hba0,hba1,VMware (ESXi)',17
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA12,120,hba0,hba1,VMware (ESXi)',18
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA13,120,hba0,hba1,VMware (ESXi)',19
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA14,120,hba0,hba1,VMware (ESXi)',20
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA15,120,hba0,hba1,VMware (ESXi)',21
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA16,120,hba0,hba1,VMware (ESXi)',22
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA17,120,hba0,hba1,VMware (ESXi)',23
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA18,120,hba0,hba1,VMware (ESXi)',24
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA19,120,hba0,hba1,VMware (ESXi)',25
